Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,30.8962345123291,33.629599819005456,25.536996577029846,27.57934288053112,855215656
1,2007-10-08,29.314571380615234,31.940444166313526,29.130298802297208,31.940444166313526,126671715
2,2007-10-09,31.31085205078125,31.587258865753952,27.748263753421156,29.329928906587007,116725709
3,2007-10-10,31.60262107849121,32.24757320916687,31.326214212652225,32.1247240932918,67931378
4,2007-10-11,35.134483337402344,36.854353617199706,31.326201824292376,36.854353617199706,106320954
5,2007-10-12,34.90415573120117,36.20941424409991,34.090289491567916,34.39740914166173,99410791
6,2007-10-15,35.36481475830078,35.84085244004591,35.05769528578435,35.625867143054634,41814972
7,2007-10-16,38.97347640991211,39.58771964423249,35.165195016807544,35.41088897807548,138614496
8,2007-10-17,42.01396560668945,42.9967456752083,32.585391597224636,35.01163731131196,204876259
9,2007-10-18,40.539794921875,45.899033527560846,38.804570041069134,42.689632089564846,146617799
10,2007-10-19,40.401588439941406,42.04467889837412,38.389952847917506,39.61843107245403,110266491
11,2007-10-22,39.864131927490234,41.107964548184555,38.54351524696544,39.587725141288814,72253405
12,2007-10-23,42.70498275756836,43.08888218158015,40.846907046006045,40.846907046006045,74594921
13,2007-10-24,42.0446891784668,44.07167957767434,41.56865125072039,43.6109959652586,63055170
14,2007-10-25,41.95255661010742,42.935341232609744,37.05399614621103,40.61658519581048,34522489
15,2007-10-26,43.21172332763672,43.90274219752356,41.537920398792004,42.68961851527008,62370025
16,2007-10-29,44.0870361328125,45.146600580603504,43.703136574276165,43.91812199328724,43657697
17,2007-10-30,45.069801330566406,46.28292091567573,43.365285522684296,44.68590193675175,79921711
18,2007-10-31,46.00652313232422,47.02002022843894,45.14658998917461,45.300149776563885,44655368
19,2007-11-01,44.977664947509766,47.49604674751287,44.609124012644195,47.14286012284267,50632492
20,2007-11-02,45.791526794433594,46.067937677981,42.9967385003224,43.349929259171894,32001693
21,2007-11-05,46.728248596191406,47.75709986456209,45.48441198855212,45.760822900633244,38833135
22,2007-11-06,47.34249496459961,50.3369108723818,46.69754301288519,47.54212185866991,81880281
23,2007-11-07,46.65148162841797,48.893453173135846,45.60727576054356,48.21779251301778,33593141
24,2007-11-08,45.852962493896484,47.096799248009305,44.83946958216819,45.45370872032492,27990521
25,2007-11-12,46.958595275878906,47.787819805112,43.25780185091003,44.4709258537555,35153735
26,2007-11-13,48.0795783996582,49.047004189621056,46.2368610223668,47.75710452486248,43830531
27,2007-11-14,47.44996643066406,49.59980253123101,47.20426837696913,48.9241380905375,36738579
28,2007-11-15,48.248497009277344,49.093075813341294,47.34249262596028,48.340631212581314,29242252
29,2007-11-16,47.910667419433594,49.00094027227761,47.35784967097989,48.033514419453546,18895294
30,2007-11-19,49.645896911621094,51.44254747378581,48.63240385890066,49.000944893718845,40716718
31,2007-11-20,48.87808609008789,50.82829598765868,48.27920132532411,49.446258067965644,26342171
32,2007-11-21,45.069801330566406,49.46160872957614,43.97952455278776,49.16984768962201,26814499
33,2007-11-22,43.51884078979492,46.405767265858756,41.63005680023265,44.59375898156243,34096185
34,2007-11-23,46.40578842163086,46.68219524955202,43.795267457376795,46.37507562617818,27664090
